OrgID,Legal title,Applied title,Website,Enabling instruments,Description raison d'étre,Ministerial portfolio,Institutional form,Population code,FAA institution schedule,FAA HR schedule,Appropriate Minister 1,Appropriate Minister 2,Appropriate Minister 3,Year of incorporation,Auditor 1,Auditor 2,Fiscal year end,Federal ownership or representation,Status,End date,Notes
53,Canadian Broadcasting Corporation,N.A.,www.cbc.radio-canada.ca,"Broadcasting Act, R.S.C. 1991, c. 11","To inform, enlighten, and entertain; to contribute to the development of a shared national consciousness and identity; to reflect the regional and cultural diversity of Canada; and to contribute to the development of Canadian talent and culture.",Canadian Heritage,Crown Corporations,CBC,N.A.,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1936,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
55,Canadian Centre for Occupational Health and Safety,N.A.,www.ccohs.ca,"Canadian Centre for Occupational Health and Safety Act, R.S.C. 1985, c. C-13","The Canadian Centre for Occupational Health and Safety (CCOHS) was  founded by an Act of Parliament in 1978 with a mandate to promote health  and safety in the workplace and to enhance the physical and mental  health of working Canadians. CCOHS operates under the legislative authority of the  Canadian Centre for Occupational Health and Safety  Act  (S.C., 1977–78, c. 29) which was passed by unanimous vote in the  Canadian Parliament. The purpose of this Act is to promote the  fundamental right of Canadians to a healthy and safe working environment  by creating a national institute (CCOHS) concerned with the study,  encouragement and co-operative advancement of occupational health and  safety. CCOHS functions as an independent departmental corporation under Schedule II of the  Financial Administration Act  and is accountable  to Parliament through the Minister of Employment, Workforce Development and Labour.   Its funding is derived from a combination of appropriations, cost  recoveries and collaboration with the provinces. It is expected that a  portion of the budget will be funded through cost recoveries from the  creation, production, and worldwide sales of fee-for-service and revenue  generating occupational health and safety products and services.","Families, Children and Social Development",Departmental Corporations,OCC,II,N.A.,"Minister of Employment, Workforce Development and Labour",N.A.,N.A.,1978,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
56,Canadian Centre on Substance Abuse,N.A.,www.ccsa.ca,"Canadian Centre on Substance Abuse Act, R.S.C. 1985, c. 49 (4th Supp.)","To provide national leadership as well as evidence-informed analysis and advice to mobilize collaborative efforts to reduce harms associated with the abuse of, or addiction to, alcohol and other drugs.",Health,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Health,N.A.,N.A.,1988,Collins Barrow Ottawa LLP,N.A.,31-Mar,3/14 Board members,Active,N.A.,N.A.
57,Canadian Coast Guard,Canadian Coast Guard,www.ccg-gcc.gc.ca/eng/CCG/Home,"Oceans Act, S.C. 1996, c.31 (section 41); Canada Shipping Act, 2001, S.C. 2001, c.26 (section 129) Treasury Board Decision No. 831932, April 1, 2005","The Canadian Coast Guard’s mandate is stated in the Oceans Act and the Canada Shipping Act, 2001. The Oceans Act gives the Minister of Fisheries and Oceans responsibility for providing: aids to navigation; marine communications and traffic management services; icebreaking and ice-management services; channel maintenance; marine search and rescue; marine pollution response; and support for other government departments, boards and agencies by providing ships, aircraft and other services. The Canada Shipping Act gives the Minister powers, responsibilities and obligations concerning: aids to navigation; search and rescue; pollution response; and vessel traffic services.","Fisheries, Oceans and the Canadian Coast Guard",Special Operating Agencies,N.A.,N.A.,N.A.,"Minister of Fisheries, Oceans and the Canadian Coast Guard",N.A.,N.A.,1962,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
58,Canadian Commercial Corporation,Canadian Commercial Corporation,www.ccc.ca,"Canadian Commercial Corporation Act, R.S.C. 1985, c. C-14",To assist in the development of trade between Canada and other nations and to assist persons in Canada to obtain goods and commodities from outside Canada and to dispose of goods and commodities that are available for export from Canada.,Global Affairs,Crown Corporations,CCC,III,N.A.,Minister of International Trade,N.A.,N.A.,1946,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
59,Canadian Conservation Institute,Canadian Conservation Institute,canada.pch.gc.ca/eng/1454704828075,"Treasury Board Decision No. 819299, November 19, 1992","The Canadian Conservation Institute is a special operating agency within the Department of Canadian Heritage. CCI advances and promotes the conservation of Canada’s heritage collections through its expertise in conservation science, treatment and preventive conservation. CCI works with heritage institutions and professionals to ensure these heritage collections are preserved and accessible to Canadians now and in the future.",Canadian Heritage,Special Operating Agencies,N.A.,N.A.,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1972,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
60,Canadian Cultural Property Export Review Board,N.A.,N.A.,"Cultural Property Export and Import Act, R.S.C. 1985, c. C-51","The Canadian Cultural Property Export Review Board is an independent administrative tribunal that reports to the Minister of Canadian Heritage. As outlined in the Cultural Property Export and Import Act, the Review Board is responsible for:  Certifying cultural property for income tax purposes; Reviewing export permit applications that have been refused; and Determining fair cash offers to purchase cultural property for refused export permits.",N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1977,N.A.,N.A.,N.A.,N.A.,Transferred,2013,N.A.
61,Canadian Dairy Commission,Canadian Dairy Commission,www.cdc-ccl.gc.ca,"Canadian Dairy Commission Act, R.S.C. 1985, c. C-15",To provide efficient producers of milk and cream with the opportunity of obtaining a fair return for their labour and investment and to provide consumers of dairy products with a continuous and adequate supply of dairy products of high quality.,Agriculture and Agri-Food,Crown Corporations,CDC,III,IV,Minister of Agriculture and Agri-Food,N.A.,N.A.,1966,Auditor General of Canada,N.A.,31-Jul,N.A.,Active,N.A.,N.A.
62,Canadian Energy Research Institute,N.A.,www.ceri.ca,"Canada Corporations Act, R.S.C. 1970, c. C-32 Societies Act, R.S.A. 2000, c. S-14","To undertake independent, high-quality economic research on energy and related environmental issues and policies to assist Canadian business and government organizations.",Natural Resources,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Natural Resources,N.A.,N.A.,1975,Buchanan Barry LLP,N.A.,31-Mar,2/9 board members,Active,N.A.,N.A.
63,Canadian Environmental Assessment Agency,Canadian Environmental Assessment Agency,www.canada.ca/ceaa,"Canadian Environmental Assessment Act, 2012, S.C. 2012, c. 19, s. 52",The Minister of Environment and Climate Change is responsible for this organization.    Environmental assessment contributes to informed decision making in support of sustainable development.    The Canadian Environmental Assessment Agency delivers high-quality  environmental assessments in support of government decisions about major projects.    Additional information can be found in the Agency’s Departmental Plan.,Environment and Climate Change,Departmental Agencies,EAA,I.1,IV,Minister of Environment and Climate Change,N.A.,N.A.,1994,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
65,Canadian Food Inspection Agency,Canadian Food Inspection Agency,www.inspection.gc.ca,"Canadian Food Inspection Agency Act, S.C. 1997, c. 6","The Minister of Health is responsible for this organization.    The Canadian Food Inspection Agency (CFIA) is one of Canada's largest  science-based regulatory agency, with employees working across Canada,  in the National Capital Region (NCR) and in four operational areas (Atlantic, Quebec, Ontario and Western).    The CFIA is dedicated to safeguarding food, animal and plant health,  which enhances the health and well-being of Canada's people, environment, and economy.    The CFIA develops and delivers inspection and other services to:    prevent and manage food safety risks;   protect plant resources from pests, diseases and invasive species;   prevent and manage animal and zoonotic diseases;   contribute to consumer protection; and,   contribute to market access for Canada's food, plants, and animals.     The CFIA bases its activities on science, effective management of risk,  commitment to service and efficiency, and collaboration with domestic and international organizations that share its objectives.",Health,Service Agencies,ICA,II,V,Minister of Health,N.A.,N.A.,1997,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
67,Canadian Forces Housing Agency,N.A.,www.canada.ca/en/government/publicservice/benefitsmilitary/military-housing.html,"Treasury Board Decision No. 821509, April 1, 1994","To manage Crown-controlled residential accommodation for DND, to ensure assets are maintained to a suitable standard and to develop and implement plans to meet the future residential needs of members of the Canadian Armed Forces.",National Defence,Special Operating Agencies,N.A.,N.A.,N.A.,Minister of National Defence,N.A.,N.A.,1995,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
68,Canadian Foundation for Climate and Atmospheric Sciences,N.A.,N.A.,"Canada Corporations Act, R.S.C. 1970, c. C-32","To fund research that improves the scientific understanding of climate, extreme weather, air quality, and marine environment prediction; that provides relevant science to policy makers; that improves understanding of the ways in which these challenges affect human health and the natural environment; and that strengthens Canada’s scientific capacity.",N.A.,Shared-Governance Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2000,N.A.,N.A.,N.A.,N.A.,Dissolved,2013,N.A.
547,Canadian Foundation for Healthcare Improvement,N.A.,www.cfhi-fcass.ca,Canada Not-for-profit Corporations Act - 2014-06-17,"To identify proven healthcare innovations and accelerate their spread across Canada by supporting healthcare organizations to adapt, implement and measure improvements in patient care, population health and value-for-money.",Health,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Health,N.A.,N.A.,2014,KPMG,N.A.,31-Dec,1/10 board members,Active,N.A.,N.A.
69,Canadian Grain Commission,N.A.,www.grainscanada.gc.ca,"Canada Grain Act, R.S.C. 1985, c. G-10","The Canadian Grain Commission (CGC) is a federal government department  that administers the provisions of the  Canada Grain Act  (CGA).  The CGC's mandate as set out in the CGA is to, in the interests of the  grain producers, establish and maintain standards of quality for  Canadian grain and regulate grain handling in Canada, to ensure a  dependable commodity for domestic and export markets. CGC's vision is  “To be a world class science-based quality assurance provider”. The  Minister of Agriculture and Agri-Food is responsible for the CGC.",Agriculture and Agri-Food,Departmental Agencies,CGC,I.1,IV,Minister of Agriculture and Agri-Food,N.A.,N.A.,1912,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
70,Canadian Heritage Information Network,N.A.,canada.pch.gc.ca/eng/1454520330387,"Treasury Board Decision No. 818537, July 16, 1992","The Canadian Heritage Information Network (CHIN) is a special operating agency of the Department of Canadian Heritage. CHIN assists Canadian museums in documenting, managing, and sharing information about their collections, to ensure that this information is accessible now and in the future.   CHIN has three core areas of activity: creating and maintaining an online point of entry to Canadian collections; carrying out research and development on collections documentation tools and standards; and providing guidance and training to cultural institutions on managing collections information.",Canadian Heritage,Special Operating Agencies,N.A.,N.A.,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1972,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
